profession,job_length,state,homeownership, annual_income ,debt_to_income,earliest_credit_line,total_credit_lines,total_credit_limit, total_credit_utilized ,loan_purpose, loan_amount,term,interest_rate, installment , total_payment , 10% of monthly , Bitcoin strategy ,issue_month
teacher,4,GA,MORTGAGE,"56,400",17.6,2002,25,285357,"18,533",credit_card,16000,36,11.98,531,21750,53,,18-Mar
regional account manager,3,GA,MORTGAGE,"87,500",17.59,2002,24,63500,"42,419",debt_consolidation,35000,60,19.03,909,68303,91,,18-Jan
director,10,MI,OWN,"83,000",17.52,2002,28,84553,"25,925",credit_card,12000,36,6.72,369,14419,37,,18-Feb
director of operations,9,AZ,MORTGAGE,"87,120",17.48,2002,10,109400,"58,817",debt_consolidation,30000,60,15.05,714,52575,71,,18-Feb
manager,10,NJ,MORTGAGE,"123,000",17.46,2002,19,536093,"82,806",debt_consolidation,15000,36,11.99,498,20396,50,,18-Feb
legal secretary,3,NY,RENT,"74,000",17.43,2002,35,148383,"110,615",debt_consolidation,32400,60,19.42,848,63860,85,,18-Mar
cashier,3,FL,OWN,"21,000",17.43,2002,3,16060,"12,143",debt_consolidation,20000,60,15.05,476,35050,48,,18-Jan
assistant clinical director,0,NY,RENT,"87,000",17.3,2002,48,187421,"194,083",credit_card,19000,60,12.61,429,30980,43,,18-Feb
retail clerk,10,CA,RENT,"42,000",17.29,2002,17,49633,"18,525",debt_consolidation,14000,60,9.93,297,20951,30,,18-Jan
project manager,0,FL,MORTGAGE,"130,000",17.28,2002,26,229391,"52,011",debt_consolidation,25000,60,15.05,595,43813,60,,18-Jan
truck driver,5,IL,MORTGAGE,"60,000",17.28,2002,16,47882,"36,724",credit_card,11400,60,14.08,266,19426,27,,18-Jan
lpn,2,WI,RENT,"48,000",17.25,2002,32,101156,"58,674",credit_card,6000,36,6.72,185,7210,18,,18-Jan
operator,2,NY,OWN,"125,000",17.2,2002,34,118305,"57,511",debt_consolidation,30000,36,10.41,974,39369,97,,18-Mar
owner,10,IN,MORTGAGE,"106,000",17.11,2002,32,229069,"44,909",debt_consolidation,13000,36,9.44,416,16682,42,,18-Feb
arborist,3,IL,MORTGAGE,"50,000",17.02,2002,22,350682,"22,940",credit_card,18000,60,7.35,359,24615,36,,18-Feb
,,MD,RENT,"36,331",17.01,2002,21,33081,"14,455",debt_consolidation,5000,36,18.06,181,7709,18,,18-Feb
,,GA,MORTGAGE,"30,000",17,2002,13,235049,"9,892",medical,15000,60,9.44,315,22080,31,,18-Feb
rn,10,TX,MORTGAGE,"70,000",16.96,2002,31,445012,"46,645",debt_consolidation,35000,60,9.44,734,51520,73,,18-Jan
manager,0,IL,MORTGAGE,"100,000",16.93,2002,26,161205,"56,323",home_improvement,25000,36,6.71,769,30033,77,,18-Mar
senior legistics,10,CA,MORTGAGE,"99,270",16.91,2002,19,497558,"40,212",debt_consolidation,35000,36,12.62,"1,173",48251,117,,18-Feb
assistant ad communications,1,NC,RENT,"57,500",16.89,2002,9,56010,"35,404",credit_card,30000,36,10.41,974,39369,97,,18-Mar
,,CO,MORTGAGE,"120,000",16.81,2002,20,331617,"34,998",debt_consolidation,36000,36,6.72,"1,107",43258,111,,18-Jan
,,CO,MORTGAGE,"39,804",16.73,2002,26,171088,"17,888",credit_card,5000,36,7.97,157,6196,16,,18-Feb
software engineer,0,OH,MORTGAGE,"84,000",16.7,2002,11,249009,"45,044",debt_consolidation,20000,36,12.61,670,27566,67,,18-Mar
skilled trade,10,MI,MORTGAGE,"138,000",16.67,2002,56,469356,"196,103",debt_consolidation,35000,36,10.91,"1,144",46456,114,,18-Jan
director of operations,10,TX,OWN,"78,000",16.6,2002,21,107091,"67,021",credit_card,9600,36,13.59,326,13514,33,,18-Jan
client advisor,10,IL,MORTGAGE,"150,000",16.54,2002,19,499711,"89,584",credit_card,13000,36,9.92,419,16869,42,,18-Mar
warehouse associate ,10,RI,MORTGAGE,"75,000",16.5,2002,35,55439,"23,818",credit_card,5000,36,9.92,161,6488,16,,18-Feb
supervisor,10,NJ,MORTGAGE,"69,000",16.49,2002,13,389982,"43,340",credit_card,25000,36,10.91,817,33183,82,,18-Jan
vp,1,CA,MORTGAGE,"70,000",16.48,2002,25,85825,"25,617",debt_consolidation,4000,36,6.72,123,4806,12,,18-Jan
housekeeper,1,FL,RENT,"25,000",16.47,2002,19,17201,"9,784",debt_consolidation,8000,36,10.9,262,10616,26,,18-Mar
professor,10,MD,RENT,"92,000",16.42,2002,21,89859,"80,480",debt_consolidation,16000,60,13.58,369,26864,37,,18-Mar
respiratory therapist ,5,FL,RENT,"75,000",16.37,2002,17,78394,"44,532",debt_consolidation,24000,36,15.05,833,34836,83,,18-Feb
purchasing assistance,4,FL,MORTGAGE,"43,000",16.33,2002,28,48536,"24,868",debt_consolidation,5000,36,10.9,163,6635,16,,18-Mar
physical therapist,3,OH,MORTGAGE,"63,000",16.32,2002,32,344508,"127,479",debt_consolidation,28800,60,9.44,604,42394,60,,18-Jan
finance manager,7,CO,RENT,"65,000",16.3,2002,34,53220,"32,353",debt_consolidation,15675,36,10.91,513,20805,51,,18-Feb
automotive technician,10,IN,MORTGAGE,"95,000",16.27,2002,42,407353,"73,634",debt_consolidation,21975,36,7.96,688,27223,69,,18-Mar
operator,6,TX,MORTGAGE,"65,000",16.14,2002,26,367672,"43,093",debt_consolidation,17425,60,9.43,365,25641,37,,18-Mar
electrician ,5,PA,RENT,"65,000",16.12,2002,12,59676,"35,385",debt_consolidation,15000,36,10.91,490,19910,49,,18-Jan
truck driver,10,MA,RENT,"59,000",16.11,2002,11,71920,"43,473",credit_card,13000,36,7.97,407,16108,41,,18-Mar
manager,10,OH,OWN,"35,000",16.05,2002,9,28900,"19,011",credit_card,14000,36,10.91,458,18582,46,,18-Jan
financial consultant,0,CA,RENT,"182,200",15.97,2002,65,283788,"219,582",debt_consolidation,35000,60,18.06,890,66605,89,,18-Jan
network administrator,4,AZ,MORTGAGE,"83,000",15.95,2002,15,306429,"53,889",debt_consolidation,10000,36,9.44,320,12832,32,,18-Jan
director,1,TX,RENT,"100,000",15.92,2002,30,90368,"45,180",credit_card,25000,60,10.91,542,38638,54,,18-Feb
billing/customer service,10,NY,MORTGAGE,"75,000",15.82,2002,11,278769,"52,130",credit_card,30000,36,14.07,"1,026",42663,103,,18-Feb
commercial lender,4,ID,MORTGAGE,"70,000",15.74,2002,16,260208,"29,352",credit_card,20000,36,6.07,609,23642,61,,18-Mar
business analyst v,0,CA,MORTGAGE,"100,000",15.72,2002,43,742634,"65,816",debt_consolidation,10000,60,14.08,233,17040,23,,18-Feb
"partner, coordinator of development ",9,NY,RENT,"69,000",15.72,2002,10,59987,"29,373",credit_card,5000,36,7.34,155,6101,16,,18-Mar
asset management accountant ,2,MA,MORTGAGE,"87,812",15.66,2002,32,508144,"49,769",debt_consolidation,35000,60,7.34,699,47845,70,,18-Feb
executive director,1,MD,MORTGAGE,"90,000",15.6,2002,15,80000,"59,631",home_improvement,6000,36,9.43,192,7697,19,,18-Mar
sr account executive ,10,GA,MORTGAGE,"82,000",15.59,2002,17,287053,"47,920",debt_consolidation,7625,36,12.61,255,10510,26,,18-Mar
designer,5,TX,RENT,"70,000",15.59,2002,22,84893,"38,737",debt_consolidation,8000,36,6.08,244,9459,24,,18-Jan
,,CA,RENT,"18,000",15.53,2002,7,13300,"6,380",debt_consolidation,9000,36,12.62,302,12407,30,,18-Jan
operations management,10,TN,MORTGAGE,"115,000",15.5,2002,40,405641,"56,595",debt_consolidation,20000,36,7.35,621,24410,62,,18-Jan
special events and marketing assistant,1,MN,OWN,"46,000",15.4,2002,31,77200,"37,127",credit_card,9000,36,13.58,306,12667,31,,18-Mar
director ,2,CO,MORTGAGE,"180,000",15.36,2002,32,585684,"137,891",credit_card,15000,36,7.97,470,18587,47,,18-Feb
director of accounting,10,NY,MORTGAGE,"225,000",15.35,2002,58,615694,"248,307",debt_consolidation,21000,60,9.92,445,31416,45,,18-Mar
qc lead,4,CA,MORTGAGE,"63,000",15.3,2002,22,33048,"20,366",debt_consolidation,10000,36,16.02,352,14806,35,,18-Feb
cfo,4,TN,MORTGAGE,"113,000",15.28,2002,29,795794,"78,028",home_improvement,10800,60,9.44,227,15898,23,,18-Jan
real estate broker/ owner,7,MA,MORTGAGE,"77,000",15.27,2002,19,236400,"26,511",debt_consolidation,25000,36,10.42,812,32815,81,,18-Feb
manager,10,CT,OWN,"300,000",15.25,2002,27,213981,"126,193",major_purchase,28250,36,18.45,"1,028",43886,103,,18-Mar
vice president,10,IL,MORTGAGE,"98,000",15.2,2002,23,343800,"46,320",debt_consolidation,32000,36,13.58,"1,087",45037,109,,18-Feb
boat captain,2,AL,MORTGAGE,"136,000",15.12,2002,23,249401,"87,470",debt_consolidation,20000,36,7.97,626,24782,63,,18-Feb
business analyst,10,CT,MORTGAGE,"109,000",15.11,2002,23,289579,"57,871",debt_consolidation,8000,36,20,297,12800,30,,18-Jan
sr buyer,10,TX,MORTGAGE,"73,000",15.09,2002,32,351005,"45,653",debt_consolidation,25000,36,6.72,769,30040,77,,18-Feb
product manager,1,NJ,RENT,"160,000",15.08,2002,11,97553,"84,621",debt_consolidation,40000,36,5.31,"1,204",46372,120,,18-Mar
operator,10,OH,OWN,"65,000",15.07,2002,14,41168,"27,431",other,1500,36,9.44,48,1925,5,,18-Jan
section 8 coordinator,7,KY,OWN,"60,000",15,2002,24,29844,"15,129",credit_card,20000,36,6.71,615,24026,61,,18-Mar
vice president/market manager,10,WV,MORTGAGE,"125,000",14.89,2002,28,333783,"67,650",debt_consolidation,23000,60,12.62,519,37513,52,,18-Feb
esthetician,5,WA,RENT,"42,000",14.89,2002,9,27954,"19,064",credit_card,7200,36,11.99,239,9790,24,,18-Jan
nurse,5,CA,RENT,"120,000",14.78,2002,28,118044,"73,308",debt_consolidation,38000,36,6.71,"1,168",45649,117,,18-Mar
,,TX,OWN,"14,000",14.67,2002,5,10200,"5,153",credit_card,5300,36,9.93,171,6879,17,,18-Feb
maintenance ,10,NY,RENT,"40,000",14.58,2002,25,56285,"16,738",credit_card,20000,36,6.07,609,23642,61,,18-Mar
special agent,9,CA,MORTGAGE,"132,900",14.54,2002,42,742438,"104,343",debt_consolidation,26000,60,25.82,776,59566,78,,18-Jan
accounting manager,0,AZ,MORTGAGE,"52,000",14.54,2002,22,343290,"18,001",debt_consolidation,26275,36,9.92,847,34094,85,,18-Mar
operations manager,10,CA,RENT,"95,000",14.24,2002,41,91850,"32,813",debt_consolidation,30000,60,9.43,629,44145,63,,18-Mar
owner,10,CA,MORTGAGE,"140,000",14.23,2002,14,57595,"43,891",small_business,35000,36,13.59,"1,189",49270,119,,18-Feb
integrations isd team lead,6,MA,MORTGAGE,"165,000",14.2,2002,30,424516,"131,464",debt_consolidation,30000,36,19.42,"1,106",47478,111,,18-Mar
church administrator,10,GA,MORTGAGE,"64,655",14.16,2002,12,107432,"10,692",debt_consolidation,3025,36,19.42,112,4787,11,,18-Mar
,,TN,OWN,"50,000",14.16,2002,13,55089,"29,320",other,20000,36,9.92,645,25952,64,,18-Mar
engineer,10,MI,MORTGAGE,"112,000",14.09,2002,39,188013,"36,835",credit_card,18000,36,10.91,589,23891,59,,18-Jan
security officer,1,IL,RENT,"40,000",14.01,2002,13,25900,"9,076",credit_card,15000,60,14.07,350,25553,35,,18-Mar
ceo/vp of opns,10,CT,MORTGAGE,"112,000",13.98,2002,22,124881,"34,799",debt_consolidation,26500,60,9.43,556,38995,56,,18-Feb
sterile technician,10,CA,MORTGAGE,"80,000",13.95,2002,47,456254,"58,811",credit_card,10000,36,7.97,313,12391,31,,18-Feb
senior accountant ,10,MA,OWN,"83,800",13.94,2002,32,120304,"34,499",house,30000,60,10.42,644,45630,64,,18-Feb
director of pupil services,5,OH,MORTGAGE,"84,000",13.84,2002,17,59703,"49,760",major_purchase,15000,36,6.07,457,17732,46,,18-Mar
,,AL,OWN,"34,000",13.8,2002,18,25700,"9,251",debt_consolidation,20000,60,12.62,451,32620,45,,18-Feb
nurse,10,IL,RENT,"100,000",13.8,2002,9,61631,"45,711",other,5000,36,7.97,157,6196,16,,18-Jan
superintendent ,10,MI,MORTGAGE,"100,000",13.73,2002,12,71985,"52,051",home_improvement,12000,60,9.93,255,17958,25,,18-Jan
president ,10,CA,RENT,"98,241",13.73,2002,23,119561,"77,873",other,35000,36,7.34,"1,086",42707,109,,18-Mar
truck driver,1,TN,MORTGAGE,"70,000",13.72,2002,16,127100,"19,900",major_purchase,4200,36,9.43,134,5388,13,,18-Mar
attorney,0,CT,MORTGAGE,"50,000",13.71,2002,11,197233,"31,956",credit_card,15000,60,13.59,346,25193,35,,18-Jan
teacher,5,CA,RENT,"55,000",13.55,2002,12,32829,"17,444",credit_card,10000,60,13.59,231,16795,23,,18-Jan
correctional sergeant,10,CA,MORTGAGE,"120,000",13.53,2002,31,104773,"52,813",credit_card,12975,60,12.62,293,21162,29,,18-Jan
engineer,5,TX,MORTGAGE,"75,000",13.52,2002,24,207875,"48,475",credit_card,24000,60,15.04,571,42048,57,,18-Mar
administrator,10,CA,RENT,"105,000",13.51,2002,32,77937,"46,535",credit_card,8500,36,7.35,264,10374,26,,18-Jan
buyer i,1,TX,RENT,"63,000",13.47,2002,23,55472,"39,664",credit_card,5000,36,6.71,154,6007,15,,18-Mar
outside sales representative ,0,NY,MORTGAGE,"55,000",13.46,2002,30,263514,"12,364",credit_card,10000,36,6.71,307,12013,31,,18-Mar
,,NY,RENT,"59,000",13.43,2002,20,19400,"10,466",other,14000,60,10.42,300,21294,30,,18-Jan
driver,10,NY,RENT,"117,000",13.42,2002,31,80016,"36,233",debt_consolidation,30000,36,18.06,"1,085",46254,109,,18-Feb
registered nurse,6,TN,MORTGAGE,"54,000",13.37,2002,22,186841,"20,164",credit_card,10000,36,13.59,340,14077,34,,18-Jan
owner,4,CA,RENT,"60,000",13.3,2002,21,51600,"17,498",credit_card,12000,36,6.71,369,14416,37,,18-Mar
global sales director,4,CA,MORTGAGE,"150,000",13.25,2002,25,558733,"99,509",debt_consolidation,16800,36,12.61,563,23155,56,,18-Mar
solution architect senior manager,10,FL,MORTGAGE,"192,000",13.19,2002,41,612460,"56,436",debt_consolidation,20000,60,15.05,476,35050,48,,18-Feb
bus driver,0,TN,MORTGAGE,"37,000",13.17,2002,28,155650,"16,043",debt_consolidation,5400,36,7.34,168,6589,17,,18-Feb
paralegal ,4,FL,OWN,"159,000",13.14,2002,33,366595,"60,740",credit_card,9600,36,7.97,301,11895,30,,18-Feb
deputy sheriff,3,NV,MORTGAGE,"60,000",13.06,2002,8,30500,"17,649",debt_consolidation,10000,36,7.97,313,12391,31,,18-Jan
pst,10,NJ,RENT,"50,000",13.03,2002,20,44247,"39,713",debt_consolidation,15000,60,28.72,474,36540,47,,18-Mar
business analyst,7,MA,OWN,"60,000",12.9,2002,33,241696,"19,028",home_improvement,10000,36,7.34,310,12202,31,,18-Mar
conductor,4,SD,MORTGAGE,"85,000",12.88,2002,24,324250,"28,911",debt_consolidation,20000,60,7.34,399,27340,40,,18-Mar
flight nurse ,4,GA,RENT,"83,000",12.84,2002,24,124408,"83,737",other,10000,60,9.93,212,14965,21,,18-Jan
qa supervisor,1,CA,OWN,"58,240",12.8,2002,15,228883,"41,131",debt_consolidation,25000,36,6.71,769,30033,77,,18-Mar
manager,3,TX,MORTGAGE,"240,000",12.76,2002,25,605349,"93,021",major_purchase,35000,36,13.59,"1,189",49270,119,,18-Jan
,,NV,OWN,"70,000",12.74,2002,14,49544,"25,081",other,15000,36,9.92,483,19464,48,,18-Mar
adjunct professor,7,NC,MORTGAGE,"60,000",12.7,2002,15,70419,"20,983",medical,2000,36,16.02,70,2961,7,,18-Jan
technical,10,OH,OWN,"180,000",12.66,2002,26,158833,"98,868",debt_consolidation,6000,36,7.34,186,7321,19,,18-Mar
dental assistant,10,TN,MORTGAGE,"83,000",12.61,2002,18,304258,"33,365",other,10000,60,10.9,217,15450,22,,18-Feb
,,VA,RENT,"32,300",12.6,2002,16,23018,"9,469",debt_consolidation,9000,36,10.9,294,11943,29,,18-Feb
regional manager,6,PA,RENT,"135,000",12.58,2002,27,560440,"117,098",other,40000,60,7.35,799,54700,80,,18-Feb
senior wind technician,5,CO,MORTGAGE,"50,000",12.55,2002,24,215306,"28,393",major_purchase,12000,36,5.31,361,13912,36,,18-Feb
process operator,10,NJ,OWN,"130,000",12.51,2002,13,73842,"36,906",credit_card,35000,36,6.08,"1,066",41384,107,,18-Feb
officer,10,TN,MORTGAGE,"90,000",12.5,2002,34,287095,"32,334",debt_consolidation,36500,36,5.32,"1,099",42325,110,,18-Jan
cover driver,9,CA,RENT,"60,000",12.5,2002,11,49500,"14,311",debt_consolidation,16800,36,5.32,506,19481,51,,18-Jan
"director, support",10,WA,MORTGAGE,"172,000",12.45,2002,22,78438,"61,861",debt_consolidation,25000,36,26.3,"1,011",44725,101,,18-Mar
general manager,1,FL,RENT,"36,000",12.35,2002,9,23861,"13,498",credit_card,5000,36,9.92,161,6488,16,,18-Mar
emergency technician ,10,CA,MORTGAGE,"70,000",12.29,2002,35,295506,"24,485",debt_consolidation,4000,36,14.07,137,5688,14,,18-Mar
sr systems engineer,10,FL,MORTGAGE,"125,000",12.28,2002,20,480960,"58,408",debt_consolidation,40000,60,14.07,932,68140,93,,18-Mar
driver,10,CA,RENT,"85,000",12.25,2002,28,58792,"27,348",debt_consolidation,40000,36,11.99,"1,328",54388,133,,18-Jan
nurse aide,10,CA,RENT,"45,000",12.24,2002,18,30832,"21,088",debt_consolidation,4500,36,13.59,153,6335,15,,18-Jan
driver,6,MO,MORTGAGE,"115,000",12.21,2002,21,205756,"53,936",other,17600,36,13.58,598,24770,60,,18-Mar
grain clerk,3,NE,MORTGAGE,"35,000",12.21,2002,21,129900,"15,040",credit_card,6000,36,7.34,186,7321,19,,18-Mar
,,TX,OWN,"55,000",12.13,2002,32,45700,"11,214",debt_consolidation,10000,60,23.87,287,21935,29,,18-Mar
equipment operator,10,PA,MORTGAGE,"65,000",12.08,2002,18,226809,"30,877",debt_consolidation,10000,36,6.72,308,12016,31,,18-Jan
receptionist ,10,CA,MORTGAGE,"44,211",11.94,2002,17,123170,"12,785",debt_consolidation,12000,36,16.02,422,17767,42,,18-Jan
strategic procurement sourcing mgr,2,MA,MORTGAGE,"70,000",11.64,2002,25,71122,"37,098",debt_consolidation,5000,36,6.72,154,6008,15,,18-Jan
loan officer,0,TX,OWN,"198,999",11.63,2002,18,94094,"72,617",debt_consolidation,25000,60,9.93,530,37413,53,,18-Mar
owner,10,TX,MORTGAGE,"128,000",11.61,2002,21,225203,"98,878",small_business,10000,36,5.32,301,11596,30,,18-Jan
operations manager,3,GA,OWN,"65,000",11.6,2002,9,146759,"19,200",credit_card,17000,36,6.71,523,20422,52,,18-Mar
marketing specialist,2,FL,RENT,"52,000",11.49,2002,21,43855,"15,700",small_business,8000,36,7.96,251,9910,25,,18-Mar
work and receivng dock ,10,TX,OWN,"39,000",11.45,2002,5,12150,"10,090",debt_consolidation,17550,60,22.91,494,37654,49,,18-Jan
director of alumni engagement,10,CT,RENT,"100,000",11.42,2002,14,74805,"27,809",credit_card,16000,36,7.35,497,19528,50,,18-Feb
hardware analyst 2,1,NY,RENT,"80,000",11.3,2002,19,55501,"35,880",debt_consolidation,8400,36,9.44,269,10779,27,,18-Feb
correctional officer,10,NY,MORTGAGE,"125,000",11.29,2002,36,320115,"22,003",home_improvement,5000,36,6.71,154,6007,15,,18-Mar
owner,4,NY,MORTGAGE,"85,000",11.25,2002,31,52032,"21,136",credit_card,12000,36,15.04,416,17414,42,,18-Mar
lead sales and service associate ,5,CO,MORTGAGE,"75,000",11.19,2002,28,295876,"40,396",debt_consolidation,13000,60,9.93,276,19455,28,,18-Feb
nurse practitioner,3,TX,RENT,"94,000",11.13,2002,41,242237,"217,793",small_business,20000,60,14.08,466,34080,47,,18-Jan
register nurse,2,NC,RENT,"65,000",11.12,2002,17,57074,"17,920",credit_card,20000,36,10.42,649,26252,65,,18-Feb
client service manager,4,WI,MORTGAGE,"52,000",10.96,2002,17,22813,"11,246",credit_card,24000,36,10.42,779,31502,78,,18-Jan
 district manager,10,OK,MORTGAGE,"89,000",10.96,2002,25,407708,"29,434",debt_consolidation,15000,36,5.32,452,17394,45,,18-Feb
claims rep,7,CO,MORTGAGE,"92,879",10.92,2002,35,376069,"66,770",debt_consolidation,10000,36,9.93,322,12979,32,,18-Feb
sr claims examiner,3,CA,MORTGAGE,"75,000",10.9,2002,27,390737,"36,147",debt_consolidation,10000,36,12.61,335,13783,34,,18-Mar
customer relations specialists ,2,PA,RENT,"29,000",10.89,2002,3,10800,"9,194",other,1500,36,21.45,57,2465,6,,18-Jan
stewart,10,SC,MORTGAGE,"90,000",10.89,2002,20,155931,"18,161",debt_consolidation,12000,36,19.03,440,18851,44,,18-Jan
registered nurse,4,AR,MORTGAGE,"71,000",10.86,2002,17,436402,"26,510",debt_consolidation,13000,36,5.32,392,15075,39,,18-Jan
mechanic ,10,IL,MORTGAGE,"94,000",10.76,2002,26,128200,"8,642",home_improvement,10000,36,16.02,352,14806,35,,18-Jan
,,AR,OWN,"28,560",10.71,2002,30,31000,"5,605",other,5000,36,14.07,171,7111,17,,18-Mar
owner,10,MD,OWN,"100,000",10.69,2002,11,88960,"68,333",debt_consolidation,30000,60,11.99,667,47985,67,,18-Mar
commercial loan underwriter ,10,CA,OWN,"150,000",10.68,2002,16,579000,"31,013",credit_card,2800,36,9.44,90,3593,9,,18-Jan
,,WV,MORTGAGE,"36,000",10.67,2002,23,112800,"11,198",car,1000,36,7.97,31,1239,3,,18-Feb
,,NH,MORTGAGE,"32,000",10.62,2002,9,116200,"3,116",debt_consolidation,2600,36,12.62,87,3584,9,,18-Jan
teacher,6,FL,MORTGAGE,"68,000",10.57,2002,10,200858,"18,261",debt_consolidation,15000,60,12.62,338,24465,34,,18-Feb
,,SC,RENT,"19,200",10.56,2002,15,14700,"6,238",debt_consolidation,8000,36,10.42,260,10501,26,,18-Feb
manager,2,CA,RENT,"85,000",10.52,2002,10,55552,"27,470",other,8000,36,9.44,256,10266,26,,18-Jan
cardiac sonographer,10,CA,MORTGAGE,"104,000",10.5,2002,31,270485,"19,233",home_improvement,6000,36,10.91,196,7964,20,,18-Jan
sales,0,CT,MORTGAGE,"60,000",10.48,2002,17,293153,"17,600",debt_consolidation,6000,36,10.91,196,7964,20,,18-Feb
executive assistant,10,NY,MORTGAGE,"140,000",10.48,2002,30,48000,"36,239",credit_card,10000,36,6.71,307,12013,31,,18-Mar
gm manager,10,MI,MORTGAGE,"140,000",10.47,2002,23,534435,"26,373",debt_consolidation,21000,36,9.93,677,27256,68,,18-Jan
coordinator,0,NC,RENT,"100,000",10.31,2002,14,26600,"25,254",debt_consolidation,40000,60,12.61,902,65220,90,,18-Mar
community bank president,3,CO,MORTGAGE,"142,500",10.26,2002,39,416708,"80,187",debt_consolidation,40000,60,9.93,849,59860,85,,18-Feb
teacher,10,NY,MORTGAGE,"108,000",10.26,2002,45,530819,"65,227",debt_consolidation,14000,36,9.43,448,17961,45,,18-Mar
labor,3,CA,OWN,"75,000",10.1,2002,16,36867,"24,907",debt_consolidation,35000,60,15.05,834,61338,83,,18-Jan
communications director,10,CO,MORTGAGE,"130,000",10.01,2002,26,539185,"49,956",medical,1200,36,15.04,42,1741,4,,18-Mar
machine operator,1,GA,MORTGAGE,"140,000",9.99,2002,36,135557,"40,852",debt_consolidation,20000,36,9.44,640,25664,64,,18-Jan
engineer,6,MI,MORTGAGE,"100,800",9.92,2002,25,299585,"30,183",debt_consolidation,15000,60,12.61,338,24458,34,,18-Mar
professor,10,MN,MORTGAGE,"85,000",9.87,2002,26,355490,"39,041",credit_card,16000,60,9.92,339,23936,34,,18-Mar
programmer analyst,1,LA,MORTGAGE,"85,000",9.85,2002,18,252595,"53,323",debt_consolidation,21250,36,18.45,773,33012,77,,18-Mar
field service representatives,5,CA,RENT,"65,000",9.64,2002,17,21500,"17,356",debt_consolidation,35000,36,14.08,"1,198",49784,120,,18-Feb
engineer,1,CA,MORTGAGE,"200,000",9.59,2002,19,616350,"56,201",credit_card,16000,36,6.72,492,19226,49,,18-Jan
stylist,10,CA,RENT,"70,000",9.51,2002,14,25400,"18,399",debt_consolidation,30000,36,10.91,981,39819,98,,18-Feb
global project manager,4,CA,MORTGAGE,"208,888",9.51,2002,38,444785,"40,346",home_improvement,20000,36,5.32,602,23192,60,,18-Jan
cna,3,FL,OWN,"33,186",9.48,2002,16,20800,"7,358",debt_consolidation,10000,60,19.42,262,19710,26,,18-Mar
